Population Locus A B
Pop1 locus_1 126  30 
Pop1 locus_2  30 126 
Pop1 locus_3  22 138 
Pop1 locus_4  13 145 
Pop1 locus_5 145  15 
Pop1 locus_6  39 115 
Pop1 locus_7 138  26 
Pop1 locus_8  76  88 
Pop1 locus_9 151  13 
Pop1 locus_10 130  30 
Pop1 locus_11  18 122 
Pop1 locus_12  89  37 
Pop1 locus_13  22 106 
Pop1 locus_14 128  10 
Pop1 locus_15  10 132 
Pop1 locus_16   8 134 
Pop1 locus_17  72  68 
Pop1 locus_18  68  72 
Pop1 locus_19 121  29 
Pop1 locus_20  29 121 
Pop1 locus_21 148  18 
Pop1 locus_22 125  15 
Pop1 locus_23  69  85 
Pop1 locus_24   9 153 
Pop1 locus_25  23 133 
Pop1 locus_26  13 151 
Pop1 locus_27  14 130 
Pop1 locus_28 123  19 
Pop1 locus_29  18 148 
Pop1 locus_30  13 153 
Pop1 locus_31  45 103 
Pop1 locus_32  18 132 
Pop1 locus_33  25 137 
Pop1 locus_34 110  30 
Pop1 locus_35  59  81 
Pop1 locus_36 135  11 
Pop1 locus_37 122  12 
Pop1 locus_38  32 134 
Pop1 locus_39  67  75 
Pop1 locus_40  49 103 
Pop1 locus_41 104  46 
Pop1 locus_42 111  39 
Pop1 locus_43  31 125 
Pop1 locus_44  80  80 
Pop1 locus_45  79  79 
Pop1 locus_46  15 145 
Pop1 locus_47 145  15 
Pop1 locus_48  30 102 
Pop1 locus_49  25 139 
Pop1 locus_50 143  21 
Pop1 locus_51  94  68 
Pop1 locus_52 103  39 
Pop1 locus_53 101  45 
Pop1 locus_54  20 128 
Pop1 locus_55  22 128 
Pop1 locus_56 146  10 
Pop1 locus_57 124  34 
Pop1 locus_58 150   8 
Pop1 locus_59 119  37 
Pop1 locus_60  89  67 
Pop1 locus_61   8 150 
Pop1 locus_62 120  26 
Pop1 locus_63  29 103 
Pop1 locus_64  24 112 
Pop1 locus_65  27 109 
Pop1 locus_66  14 118 
Pop1 locus_67  20 144 
Pop1 locus_68  44  94 
Pop1 locus_69  11 125 
Pop1 locus_70  25 133 
Pop1 locus_71 144  18 
Pop1 locus_72   9 135 
Pop1 locus_73   8 134 
Pop1 locus_74 152   8 
Pop1 locus_75 107  45 
Pop1 locus_76  45 107 
Pop1 locus_77  92  64 
Pop1 locus_78  99  33 
Pop1 locus_79  10 136 
Pop1 locus_80  13 129 
Pop1 locus_81  53  85 
Pop1 locus_82  14 126 
Pop1 locus_83  18 130 
Pop1 locus_84 135  27 
Pop1 locus_85 142  12 
Pop1 locus_86 128  24 
Pop1 locus_87  10 154 
Pop1 locus_88  93  47 
Pop1 locus_89 131  21 
